DATE,YEAR,LOCATION,OPERATOR,AIRCRAFT_TYPE,TOTAL_FATALITIES,PASSENGER_FATALITIES,CREW_FATALITIES
02/12/1998,1998,"Near Nasir, Sudan",Military - Sudanese Air Force,Antonov AN-32,27,24,3
02/16/1998,1998,"Taipei, Taiwan",China Airlines (Taiwan),Airbus A300-622R,196,182,14
03/10/1998,1998,"Mombasa, Kenya",Air Memphis,Boeing 707-336C,6,0,6
03/18/1998,1998,"Off Hsinchu, Taiwan",Formosa Airlines,Saab340B,13,8,5
03/19/1998,1998,"Near Charasyab, Afghanistan",Ariana Afghan Airlines,Boeing B-727-228,45,32,13
03/22/1998,1998,"Bacolod, Philippines",Philippine Air Lines,Airbus A.320-214,0,0,0
03/28/1998,1998,"Piura, Peru",Military - Fuerza Aerea del Peru,Antonov AN-32,22,22,0
03/31/1998,1998,"Near Mexico City, Mexico",Linea Aerea Mexicana de Carga,Convair CV-240-53,2,0,2
04/20/1998,1998,"Near Bogota, Colombia",Air France,Boeing B-727-230,53,43,10
05/05/1998,1998,"Andoas, Peru",Military - Fuerza Aerea del Peru,Boeing B-737-282,75,69,6
05/12/1998,1998,"Near Nema, Mauritania",Military - Mauritanian Air Force,Xian Yunshuji Y-7-100C,39,32,7
05/25/1998,1998,"Near Longtiang, Laos",Military - Lao People's Liberation Army Air Force,Yakovlev YAK-40,26,20,6
05/25/1998,1998,"Indian Trail, North Carolina",Air Taxi - US Helicopters Inc.,Bell 206L-3,5,4,1
05/26/1998,1998,"Near Erdenet, Mongolia",MIAT - Mongolian Airlines,Harbin Yunshuji Y-12 II,28,26,2
06/18/1998,1998,"Montreal, Canada",Propair,Swearingen SA-226TC Metroliner II,11,9,2
06/25/1998,1998,"Mt. Waialeale, Hawaii",Air Taxi - Ohana Helicopter Tours,Eurocopter AS-350-BA,6,4,2
07/13/1998,1998,"Off Rasal, United Arab Emirates",ATI Aircompany,Ilyushin 76MD,8,0,8
07/16/1998,1998,"Córdoba, Argentina",Alas del Sur,Rockwell Sabreliner 60,3,1,2
07/17/1998,1998,"Asmara, Eritrea",Ukraine Aviation Transport Company,Ilyushin II-76,10,1,9
07/23/1998,1998,"Pico de Orizaba, Mexico",Military - Mexican Air Force,Shorts SC-7 Skyvan 3-100,4,0,4
07/27/1998,1998,"Southhampton, England",Plane Sailing,Consolidated PBY-5A Catalina,4,2,2
07/28/1998,1998,"Barcelona, Spain",Swifair,Swearingen SA.227AC Metro III,2,0,2
07/29/1998,1998,"Manacapuru River, Brazil",Selva Taxi Aero,Embraer 110 Bandeirante,5,4,1
07/30/1998,1998,"Near Quiberon, France",Proteus Air / Private,Beechcraft 1900D / Cessna 177,15,12,3
07/30/1998,1998,"Kochi, India",Alliance Airlines,Dornier 228-201,6,3,3
08/04/1998,1998,"Kincolith, British Columbia, Canada",Harbour Air Seaplanes Ltd.,De Havilland Dash-2 Beaver,5,4,1
08/11/1998,1998,"Saurimo, Angola",Alada,Antonov An-12BP,1,0,1
08/19/1998,1998,"Foveaux Strait, New Zealand",Vincent Aviation,Cessna 402C,5,4,1
08/21/1998,1998,"Near Ghorepani, Nepal",Lumbini Airways,De Havilland Canada DHC-6 Twin Otter 300,18,15,3
08/24/1998,1998,"Pretoria, South Africa",Speed Service Couriers,DC-3-65TP,1,0,1
08/24/1998,1998,"Manibagi, Myanmar",Myanmar Airways,Fokker F-27 Friendship 600,44,40,4
08/29/1998,1998,"Quito, Ecuador",Cubana de Aviacion,Tupolev TU-154M,70,56,14
09/02/1998,1998,"Off Peggy's Cove, Nova Scotia, Canada",Swissair,McDonnell Douglas MD-11,229,215,14
